1,ECG Leads adjusted
2,ECG leads removed
3,ECG poor quality signal
4,Pacemaker active
5,NIBP on R UE
6,NIBP on L UE
7,NIBP in auto mode 
8,NIBP in manual mode 
9,NIBP on non-standard site
10,NIBP site changed
11,Manual BP Cuff inflated on R UE
12,Manual BP Cuff inflated on L UE
13,PO on R hand
14,PO on L hand
15,PO on other site
16,PO site changed
17,PO probe type changed
18,PO poor quality signal
19,Arterial line in R UE
20,Arterial line in L UE
21,Arterial line in other site
22,Arterial line poor quality signal
23,Arterial line disconnected or zeroed
24,ETT suctioned or disconnected/reconnected
25,Airway device changed
26,Mechanical Ventilation initiated
27,Extubated
28,Intubated
29,Non-invasive ventilation started
30,Non-invasive ventilation stopped
31,Supplemental O2 started
32,ETCO2 cannula applied
33,ETCO2 cannula adjusted
34,ETCO2 cannula removed
35,Nurse talking with patient
36,Nurse adjusting sensors or airway
37,Nurse moving patient
38,Nurse stimulating patient to breathe
39,Patient anesthetized or unconscious
40,Patient sleeping
41,Patient awake
42,Patient movement in bed
43,Patient sitting
44,Patient out of bed
45,Other people in bed
46,"PO O2 Desaturation - True, Clinically Relevant"
47,PO O2 Desaturation - False event/noise
48,"PO O2 Desaturation - True, non actionable"
49,Infusion A started
50,Infusion A rate adjusted (to xx)
51,Infusion A stopped
52,Infusion B started
53,Infusion B rate adjusted (to xx)
54,Infusion B stopped
55,Med C administered
56,CPR initiated
57,CPR terminated
